Order,Latitude,Longitude,Elevation,Time
282,42.28486,-121.74969,1361.9,
283,42.28528,-121.7498,1362.8,
284,42.28538,-121.74984,1362.8,
285,42.28588,-121.75001,1363.4,
286,42.28629,-121.75013,1364.2,
287,42.28645,-121.75019,1364.4,
288,42.2868,-121.7503,1364.9,
289,42.28714,-121.75046,1365.2,
290,42.28725,-121.75052,1365.3,
291,42.28746,-121.75068,1365.2,
292,42.28761,-121.7508,1365.1,
293,42.28802,-121.75113,1365.2,
294,42.28808,-121.75118,1365.2,
295,42.28899,-121.75195,1365.0,
296,42.28905,-121.752,1365.0,
297,42.28914,-121.75208,1364.9,
298,42.2893,-121.7522,1365.0,
299,42.28933,-121.75223,1364.9,
300,42.28946,-121.75242,1364.3,
301,42.28947,-121.75241,1364.4,
302,42.28974,-121.75292,1360.9,
303,42.29004,-121.75324,1359.9,
304,42.29057,-121.75357,1360.0,
305,42.2911,-121.7539,1362.8,
306,42.29167,-121.75418,1363.3,
307,42.29224,-121.75447,1362.8,
308,42.29295,-121.75465,1363.1,
309,42.29366,-121.75483,1358.8,
310,42.29426,-121.75507,1353.6,
311,42.29444,-121.75506,1351.6,
312,42.29513,-121.75479,1345.6,
313,42.29592,-121.75476,1339.5,
314,42.29653,-121.75479,1334.3,
315,42.29696,-121.7547,1335.1,
316,42.2972,-121.75477,1332.8,
317,42.29748,-121.75492,1328.8,
318,42.29791,-121.75504,1327.2,
319,42.29857,-121.75551,1322.5,
320,42.29896,-121.75591,1320.4,
321,42.29936,-121.75631,1318.1,
322,42.29973,-121.75653,1316.0,
323,42.30005,-121.75666,1316.2,
324,42.30088,-121.75709,1314.8,
325,42.30126,-121.75725,1314.5,
326,42.30154,-121.7574,1313.9,
327,42.30181,-121.75761,1312.3,
328,42.30227,-121.75819,1309.4,
329,42.3026,-121.75873,1307.7,
330,42.30297,-121.75953,1305.9,
331,42.30333,-121.76033,1302.4,
332,42.30369,-121.76113,1298.4,
333,42.30384,-121.76131,1297.6,
334,42.30418,-121.76156,1296.8,
335,42.30447,-121.76184,1295.9,
336,42.30485,-121.76226,1295.0,
337,42.30523,-121.76269,1293.0,
338,42.3056,-121.76301,1292.4,
339,42.30581,-121.76314,1292.1,
340,42.30653,-121.76337,1291.8,
341,42.30683,-121.76353,1291.5,
342,42.30705,-121.76382,1290.3,
343,42.30723,-121.76417,1288.6,
344,42.30743,-121.76441,1287.3,
345,42.30792,-121.7648,1286.6,
346,42.30841,-121.76519,1285.8,
347,42.30876,-121.76553,1285.2,
348,42.30949,-121.76609,1285.0,
349,42.30994,-121.7665,1284.2,
350,42.31046,-121.76682,1283.5,
351,42.31098,-121.76715,1283.1,
352,42.31135,-121.76741,1282.8,
353,42.31186,-121.76772,1281.0,
354,42.31224,-121.76792,1280.4,
355,42.31271,-121.76812,1280.0,
356,42.31306,-121.76822,1279.8,
357,42.31328,-121.76826,1279.8,
358,42.31366,-121.76826,1280.1,
359,42.31405,-121.76835,1280.0,
360,42.31468,-121.76861,1279.9,
361,42.3153,-121.76886,1279.8,
362,42.3157,-121.76908,1279.6,
363,42.31612,-121.76936,1278.8,
364,42.31654,-121.76964,1277.7,
365,42.31697,-121.76991,1276.5,
366,42.31741,-121.77017,1275.0,
367,42.31815,-121.77067,1274.8,
368,42.31871,-121.77101,1274.5,
369,42.31946,-121.77141,1274.3,
370,42.3202,-121.77182,1274.2,
371,42.32095,-121.77222,1274.0,
372,42.32133,-121.77247,1273.8,
373,42.32169,-121.77272,1273.5,
374,42.32235,-121.77306,1273.2,
375,42.32301,-121.77339,1273.1,
376,42.32345,-121.77354,1273.3,
377,42.32406,-121.77396,1273.2,
378,42.32458,-121.77428,1273.2,
379,42.32499,-121.77459,1273.1,
380,42.3254,-121.7749,1272.6,
381,42.32602,-121.77533,1272.0,
382,42.32664,-121.77576,1271.7,
383,42.32725,-121.77619,1271.0,
384,42.32787,-121.77662,1270.9,
385,42.32843,-121.77705,1270.9,
386,42.32898,-121.77749,1270.6,
387,42.32954,-121.77792,1270.7,
388,42.33015,-121.77854,1270.6,
389,42.33062,-121.77894,1270.6,
390,42.33109,-121.77933,1270.8,
391,42.33162,-121.77989,1271.1,
392,42.33216,-121.78045,1271.9,
393,42.33269,-121.78101,1273.7,
394,42.33335,-121.78168,1274.1,
395,42.334,-121.78235,1275.5,
396,42.33432,-121.78265,1276.9,
397,42.33462,-121.78286,1276.8,
398,42.3351,-121.78314,1275.0,
399,42.33558,-121.78343,1273.6,
400,42.33611,-121.78377,1272.7,
401,42.3363,-121.78386,1272.4,
402,42.33656,-121.78395,1272.1,
403,42.33735,-121.78374,1273.9,
404,42.33804,-121.78398,1274.0,
405,42.33874,-121.7843,1273.8,
406,42.33927,-121.78464,1272.6,
407,42.3398,-121.78498,1271.6,
408,42.3398,-121.78497,1271.7,
409,42.34003,-121.78512,1271.9,
410,42.34018,-121.7853,1271.8,
411,42.34066,-121.78612,1271.4,
412,42.34115,-121.78671,1269.1,
413,42.34161,-121.78721,1268.7,
414,42.34191,-121.78744,1268.6,
415,42.34256,-121.78777,1268.5,
416,42.34322,-121.7881,1269.1,
417,42.34387,-121.78843,1269.0,
418,42.34452,-121.78872,1272.2,
419,42.34517,-121.78902,1274.3,
420,42.3453,-121.78914,1274.4,
421,42.34536,-121.78938,1274.2,
422,42.34537,-121.79057,1274.9,
423,42.34539,-121.79177,1274.4,
424,42.34536,-121.79213,1271.9,
425,42.34521,-121.79259,1268.8,
426,42.34484,-121.79362,1268.9,
427,42.34473,-121.79412,1268.5,
428,42.3447,-121.79446,1268.5,
429,42.34477,-121.795,1268.6,
430,42.34497,-121.7958,1269.3,
431,42.34516,-121.79661,1269.2,
432,42.34524,-121.79702,1268.6,
433,42.34511,-121.79772,1268.5,
434,42.34527,-121.79815,1267.7,
435,42.34557,-121.7988,1266.1,
436,42.34571,-121.79933,1266.2,
437,42.34582,-121.79991,1266.4,
438,42.346,-121.80053,1266.4,
439,42.34621,-121.80128,1266.6,
440,42.34641,-121.80202,1267.1,
441,42.34656,-121.8026,1267.2,
442,42.3467,-121.80319,1267.1,
443,42.34687,-121.80403,1267.6,
444,42.34726,-121.80505,1267.5,
445,42.34764,-121.80607,1267.1,
446,42.34793,-121.80657,1266.7,
447,42.34822,-121.80708,1266.6,
448,42.34856,-121.80759,1266.3,
449,42.34887,-121.80814,1266.2,
450,42.34919,-121.80869,1266.1,
451,42.34947,-121.8093,1266.2,
452,42.34975,-121.80992,1266.1,
453,42.34975,-121.80992,1266.1,
454,42.35,-121.81047,1266.0,
455,42.35025,-121.81101,1265.9,
456,42.35047,-121.81137,1265.7,
457,42.35063,-121.81147,1265.4,
458,42.35072,-121.81069,1265.1,
459,42.35082,-121.81036,1264.8,
460,42.35118,-121.80939,1264.1,
461,42.35154,-121.80842,1264.1,
462,42.35189,-121.80745,1264.2,
463,42.35206,-121.80713,1264.2,
464,42.35221,-121.80694,1264.3,
465,42.3524,-121.80678,1264.6,
466,42.35272,-121.80661,1264.7,
467,42.35296,-121.80658,1264.7,
468,42.35381,-121.80657,1264.6,
469,42.35466,-121.80656,1264.4,
470,42.3555,-121.80656,1263.9,
471,42.35595,-121.80653,1263.6,
472,42.35622,-121.80639,1263.6,
473,42.35674,-121.80586,1263.6,
474,42.35727,-121.80533,1263.5,
475,42.35751,-121.8052,1263.3,
476,42.35777,-121.80516,1263.0,
477,42.35865,-121.80513,1263.0,
478,42.35954,-121.8051,1263.0,
479,42.36042,-121.80508,1263.0,
480,42.36128,-121.80507,1263.0,
481,42.36214,-121.80505,1263.0,
482,42.36301,-121.80504,1263.0,
483,42.36387,-121.80503,1263.0,
484,42.36473,-121.80502,1263.0,
485,42.36559,-121.80501,1263.0,
486,42.36645,-121.805,1263.0,
487,42.36732,-121.80499,1263.0,
488,42.36815,-121.80498,1263.0,
489,42.36899,-121.80496,1263.0,
490,42.36983,-121.80495,1263.0,
491,42.37066,-121.80493,1263.0,
492,42.3715,-121.80491,1263.0,
493,42.37234,-121.8049,1263.0,
494,42.37308,-121.8049,1263.1,
495,42.37383,-121.8049,1263.9,
496,42.3742,-121.80494,1265.3,
497,42.37455,-121.80505,1264.8,
498,42.37483,-121.80518,1265.4,
499,42.37517,-121.8054,1265.3,
500,42.37589,-121.80606,1264.9,
501,42.37662,-121.80672,1264.7,
502,42.37734,-121.80739,1264.7,
503,42.37806,-121.80805,1264.5,
504,42.37878,-121.80871,1264.2,
505,42.37951,-121.80938,1264.2,
506,42.38023,-121.81004,1264.3,
507,42.38095,-121.8107,1264.2,
508,42.38127,-121.81091,1264.2,
509,42.38143,-121.81096,1264.2,
510,42.38198,-121.81097,1267.2,
511,42.38218,-121.81101,1268.3,
512,42.38234,-121.81109,1269.3,
513,42.38248,-121.81123,1269.8,
514,42.38272,-121.81158,1268.4,
515,42.38285,-121.81171,1268.7,
516,42.38307,-121.8119,1268.6,
517,42.38356,-121.81222,1269.0,
518,42.38405,-121.81253,1270.4,
519,42.38443,-121.81285,1270.5,
520,42.38479,-121.81318,1271.1,
521,42.38528,-121.81361,1274.2,
